"Lounge","Terminal","Airport","card","Image","Credit Card","ID","Created Date","Updated Date","Owner"
"Bird lounge "," Domestic Terminal - Domestic Terminal","Biju Patnaik International Airport , Bhubaneswar","ICICI Bank Coral Rupay Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"c261cdc3-0bf3-4a99-b819-f5fffdc96e4c",2024-05-30T16:53:49Z,2024-05-30T16:53:49Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Good Times Lounge "," Domestic Terminal - Domestic Terminal","Dabolim Airport, Goa ","Etihad Guest SBI Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020288967971916880202889679719AirportImage.webp&w=96&q=75",[],"c28e4846-3b80-41c9-bd56-28a230571510",2024-05-30T16:53:47Z,2024-05-30T16:53:47Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Earth lounge"," Terminal 1 - Domestic Departures, Terminal 1","Cochin International Airport, Kochi","ICICI Bank Sapphiro MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688019357175430116880193571754301AirportImage.webp&w=96&q=75",[],"c28e5b4d-869a-4578-b19c-a9dc14369ecb",2024-05-30T16:53:37Z,2024-05-30T16:53:37Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Primus lounge "," Domestic Terminal - Domestic Terminal","Devi Ahilya Bai Holkar Airport, Indore","ICICI Bank Coral Rupay Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688019357175430116880193571754301AirportImage.webp&w=96&q=75",[],"c2d6040f-f80c-43c9-bb9f-16cbdb7b1c90",2024-05-30T16:53:48Z,2024-05-30T16:53:48Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Bird lounge "," Domestic Terminal - Domestic departure","Jolly Grant Airport, Dehradun","YES Premia Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1690288946693662516902889466936625AirportImage.webp&w=96&q=75",[],"c2e17e7d-de6f-4ee0-ae30-fe85cdab11ec",2024-05-30T16:53:47Z,2024-05-30T16:53:47Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Oasis lounge"," Terminal 1 - Domestic Departures ","Chhatrapati Shivaji International Airport, Mumbai ","YES Prosperity Edge Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1690288946693662516902889466936625AirportImage.webp&w=96&q=75",[],"c2f59781-d5df-46b0-9ef2-20a517a9a655",2024-05-30T16:53:42Z,2024-05-30T16:53:42Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR international lounge "," Terminal 1 - International Departures","Kempegowda International Airport, Bengaluru","Club Vistara SBI Card PRIME Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687952014963344116879520149633441AirportImage.webp&w=96&q=75",[],"c318e66d-7b59-405c-9ea4-4975664f7860",2024-05-30T16:53:40Z,2024-05-30T16:53:40Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"080 Domestic Lounge"," Terminal 2 - Domestic Terminal","Kempegowda International Airport, Bengaluru","Kotak White Reserve Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687953945909818916879539459098189AirportImage.webp&w=96&q=75",[],"c3314c11-1bc6-4f55-9142-1a258596ca20",2024-05-30T16:53:53Z,2024-05-30T16:53:53Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","Paytm HDFC Bank Select Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"c3556d48-3db8-4e17-90f1-d622e077a8bb",2024-05-30T16:53:44Z,2024-05-30T16:53:44Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 1 - Domestic Departures","Indira Gandhi International Airport , New Delhi ","Axis Bank Rewards Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020252177969316880202521779693AirportImage.webp&w=96&q=75",[],"c36b7694-1ec2-4b71-8dbd-043dd23c4c87",2024-05-30T16:53:38Z,2024-05-30T16:53:38Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 3 - Domestic Departure","Indira Gandhi International Airport , New Delhi ","HDFC Bank Regalia MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688127311287618716881273112876187AirportImage.webp&w=96&q=75",[],"c3772e81-3f0d-4a26-a33d-076d2b644601",2024-05-30T16:53:54Z,2024-05-30T16:53:54Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Earth lounge"," International Terminal - International Departures","Cochin International Airport, Kochi","Citibank PremierMiles Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687953945909818916879539459098189AirportImage.webp&w=96&q=75",[],"c39ff946-7fe9-4f3d-8214-07d10e3c8aae",2024-05-31T04:52:34Z,2024-05-31T04:52:34Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Earth lounge"," International Terminal - International Departures","Cochin International Airport, Kochi","HSBC Visa Platinum Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"c3a5ea57-cba4-402c-98b0-e3983712c319",2024-05-30T16:53:53Z,2024-05-30T16:53:53Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","Airtel Axis Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687952014963344116879520149633441AirportImage.webp&w=96&q=75",[],"c3c28877-c50e-4fab-a058-6ff75f882784",2024-05-30T16:53:35Z,2024-05-30T16:53:35Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Primus lounge "," Domestic Terminal - Domestic Terminal ","Madurai International Airport, Madurai","Club Vistara SBI Master Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687952014963344116879520149633441AirportImage.webp&w=96&q=75",[],"c404cad0-6236-43ca-8cc6-74971c0c988f",2024-05-30T16:53:35Z,2024-05-30T16:53:35Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"080 Domestic Lounge"," Terminal 2 - Domestic Terminal","Kempegowda International Airport, Bengaluru","Axis Bank Signature Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020252177969316880202521779693AirportImage.webp&w=96&q=75",[],"c4490149-ccf8-4a16-97b0-0001223b7bac",2024-05-30T16:53:46Z,2024-05-30T16:53:46Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"The Executive Lounge"," Domestic Terminal - Domestic Departures","Jammu Airport, Jammu ","Kotak Infinite Credit card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688023208094287116880232080942871AirportImage.webp&w=96&q=75",[],"c481c237-e947-47b2-815b-4fb089867d9b",2024-05-30T16:53:48Z,2024-05-30T16:53:48Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"The Executive Lounge"," Domestic Terminal - Domestic Departures","Jammu Airport, Jammu ","AU Bank Zenith Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"c482d9e1-2280-41a3-bf95-bccbf62f382e",2024-05-30T16:53:48Z,2024-05-30T16:53:48Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Primus lounge "," Domestic Terminal - Domestic Terminal","Lokpriya Gopinath Bordoloi International Airport, Guwahati","Kotak White Reserve Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687940499819938816879404998199388AirportImage.webp&w=96&q=75",[],"c497e23a-fddb-4957-8d1e-005a81a47fb0",2024-05-30T16:53:53Z,2024-05-30T16:53:53Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"The lounge "," Terminal 2 - Domestic Terminal ","Chaudhary Charan Singh International Airport, Lucknow","Standard Chartered EaseMyTrip Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687940499819938816879404998199388AirportImage.webp&w=96&q=75",[],"c49a2f88-6767-493f-921c-2bbf21683a30",2024-05-30T16:53:55Z,2024-05-30T16:53:55Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Primus Lounge"," Domestic Terminal - Domestic Departure ","Maharaja Bir Bikram Airport, Agartala","HSBC Premier Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688023208094287116880232080942871AirportImage.webp&w=96&q=75",[],"c513f0c2-9a3d-4f90-9363-6530e1544855",2024-05-30T16:53:40Z,2024-05-30T16:53:40Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge New Terminal"," International Terminal - International Terminal","Chennai International Airport , Chennai","Etihad Guest SBI Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020366128135716880203661281357AirportImage.webp&w=96&q=75",[],"c516f65f-39f9-4cff-9ae0-effbe5943b3c",2024-05-30T16:53:47Z,2024-05-30T16:53:47Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","Standard Chartered Ultimate Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020288967971916880202889679719AirportImage.webp&w=96&q=75",[],"c5451c72-7578-4bb8-b8eb-81794b4bfc3b",2024-05-30T16:53:38Z,2024-05-30T16:53:38Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel Club Lounge B"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","Club Vistara SBI Visa Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688023208094287116880232080942871AirportImage.webp&w=96&q=75",[],"c54e7dd6-938b-459f-b99e-e3801e0478d2",2024-05-30T16:53:39Z,2024-05-30T16:53:39Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Bird lounge "," Domestic Terminal - Domestic Terminal","Biju Patnaik International Airport , Bhubaneswar","Samsung Axis Bank Infinite Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020366128135716880203661281357AirportImage.webp&w=96&q=75",[],"c5b51da3-efff-4f89-820d-8e2ada6fb4cb",2024-05-30T16:53:44Z,2024-05-30T16:53:44Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 2 - Domestic Departures","Indira Gandhi International Airport , New Delhi ","American Express Platinum Charge Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687940499819938816879404998199388AirportImage.webp&w=96&q=75",[],"c5d26cde-9bbc-4888-80aa-b432de3a80a9",2024-05-30T16:53:53Z,2024-05-30T16:53:53Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 1 - Domestic Departures","Indira Gandhi International Airport , New Delhi ","Axis Bank Reserve Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688127311287618716881273112876187AirportImage.webp&w=96&q=75",[],"c5d6e423-bc5b-4eec-b95b-cabdb848d683",2024-05-30T16:53:51Z,2024-05-30T16:53:51Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","YES First Preferred Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"c5dcbb8f-30b9-4c29-bee2-6c4340d49789",2024-05-30T16:53:52Z,2024-05-30T16:53:52Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
